Season,Batting Team,Innings,Total Score
2013,Royal Challengers Bangalore,1,263-5
2023,Lucknow Super Giants,1,257-5
2016,Royal Challengers Bangalore,1,248-3
2010,Chennai Super Kings,1,246-5
2018,Kolkata Knight Riders,1,245-6
2008,Chennai Super Kings,1,240-5
2015,Royal Challengers Bangalore,1,235-1
2021,Mumbai Indians,1,235-9
2023,Chennai Super Kings,1,235-4
2023,Gujarat Titans,1,233-3
