Player,Six Count
CH Gayle,359
RG Sharma,258
AB de Villiers,253
MS Dhoni,239
V Kohli,235
DA Warner,226
KA Pollard,224
SK Raina,204
AD Russell,193
SR Watson,190
SV Samson,182
RV Uthappa,182
AT Rayudu,173
KL Rahul,168
YK Pathan,161
GJ Maxwell,158
S Dhawan,149
Yuvraj Singh,149
JC Buttler,149
F du Plessis,145
KD Karthik,139
N Rana,131
BB McCullum,130
RR Pant,129
HH Pandya,126
DA Miller,126
DR Smith,117
Q de Kock,114
SA Yadav,112
MK Pandey,109
V Sehwag,106
Ishan Kishan,103
