bowler,wickets_runs_format,season
AS Joseph,6-12,2019
Sohail Tanvir,6-14,2008
A Zampa,6-19,2016
A Kumble,5-5,2009
Akash Madhwal,5-5,2023
JJ Bumrah,5-10,2022
MM Sharma,5-10,2023
I Sharma,5-12,2011
SL Malinga,5-13,2011
AS Rajpoot,5-14,2018
MA Wood,5-14,2023
AD Russell,5-15,2021
RA Jadeja,5-16,2012
JP Faulkner,5-16,2013
A Mishra,5-17,2008
AJ Tye,5-17,2017
LH Ferguson,5-17,2020
Harbhajan Singh,5-18,2011
PWH de Silva,5-18,2022
SP Narine,5-19,2012
